No,공동주택,빌링전용,공급전용,공동주택명,공동주택검사명,난방방식,공동주택계약,정기검사,지사,완성검사일자,기밀시험시행년도,정기검사기준월,주소,연락처,세대수,동수,사용여부,전용면적등록구분,도로명주소,위도,경도
642,22801,아니오,아니오,칠곡2차한라타운,구암한라(한라2차),개별난방,아니오,예,북부안전팀,1995-06-22,2004, 6 월,북구 구암로 170 (구암동 695),324-5232,630,5,사용,등록,대구광역시 북구 구암로 170,35.93056186,128.5583719
643,22809,아니오,아니오,칠곡청구타운,칠곡청구타운,개별난방,아니오,예,북부안전팀,1995-11-03,2004,11 월,북구 학정로 271 (구암동 695-3),322-4667,466,4,사용,등록,대구광역시 북구 학정로 271,35.92948283,128.5594335
644,22810,아니오,아니오,칠곡3차서한타운,칠곡서한3차,개별난방,아니오,예,북부안전팀,1996-02-15,2005, 2 월,북구 구암로32길 14 (구암동 655-1),322-7869,404,3,사용,등록,대구광역시 북구 구암로32길 14,35.93042355,128.5565234
645,22811,아니오,아니오,칠곡2차동서타운,칠곡동서2차,개별난방,아니오,예,북부안전팀,1996-11-01,2005,11 월,북구 구암로32길 22 (구암동 655-3),321-1266,335,3,사용,등록,대구광역시 북구 구암로32길 22,35.92973459,128.5565821
646,22812,아니오,아니오,칠곡부영6단지,구암부영6단지,개별난방,아니오,예,북부안전팀,2002-06-03,2005, 6 월,북구 구암로49길 24 (구암동 789-1),325-4443,536,6,사용,등록,대구광역시 북구 구암로49길 24,35.93365337,128.563736
647,22813,아니오,아니오,칠곡부영3단지,구암부영3단지,개별난방,아니오,예,북부안전팀,2002-05-13,2005, 5 월,북구 구암서로 7 (구암동 787-3),323-8609,644,7,사용,등록,대구광역시 북구 구암서로 7,35.93789378,128.5646209
648,22814,아니오,아니오,칠곡부영7단지,구암부영7단지,개별난방,아니오,예,북부안전팀,2003-05-11,2006, 5 월,북구 구암로49길 10 (구암동 789-2),326-1268,592,8,사용,등록,대구광역시 북구 구암로49길 10,35.93431178,128.5658086
649,22815,아니오,아니오,칠곡부영5단지,구암부영5단지,개별난방,아니오,예,북부안전팀,2003-05-06,2006, 5 월,북구 대천로 132 (구암동 789),326-3285,746,8,사용,등록,대구광역시 북구 대천로 132,35.93594945,128.5641771
650,22816,아니오,아니오,화성그랜드파크,칠곡화성그랜드파크,개별난방,아니오,예,북부안전팀,2003-12-03,2006,12 월,북구 구암로65길 9 (구암동 785),324-6935,716,8,사용,등록,대구광역시 북구 구암로65길 9,35.93931296,128.5664713
651,22890,아니오,아니오,칠곡금빛타운,칠곡에덴현대금빛,개별난방,아니오,예,북부안전팀,1995-10-26,2004,10 월,북구 팔거천동로 70 (구암동 655),321-8797,480,5,사용,등록,대구광역시 북구 팔거천동로 70,35.93109877,128.5553986
