시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,난방방식,난방연료,난방공급업체,고시지역명,고시지역여부,위도,경도
대구광역시,중구,,대봉동,A70081201,대봉화성파크드림,아파트,대구광역시 중구 대봉동 152-24 대봉화성파크드림,대구광역시 중구 명덕로55길 25,20060522,2,263,개별난방,도시가스,대성에너지,,False,35.85679598,128.599541501
대구광역시,중구,,대봉동,A10023903,더샵 리비테르 2차,아파트,대구광역시 중구 대봉동 94-15 더샵 리비테르 2차,대구광역시 중구 대봉로43길 22,20220302,6,613,개별난방,도시가스,대성에너지,,False,35.858098667,128.599809894
대구광역시,중구,,대봉동,A10023904,더샵리비테르1차,아파트,대구광역시 중구 대봉동 169-11 더샵리비테르1차,대구광역시 중구 대봉로43길 21,20220302,9,724,개별난방,도시가스,대성에너지,,False,35.857062719,128.601102453
대구광역시,중구,,대봉동,A70081003,센트로팰리스,아파트,대구광역시 중구 대봉동 60-10 센트로팰리스,대구광역시 중구 대봉로 260,20070323,7,843,개별난방,도시가스,대성에너지,,False,35.861760354,128.601144573
대구광역시,중구,,대봉동,A70076102,청운맨션,아파트,대구광역시 중구 대봉동 44-10 청운맨션,대구광역시 중구 동덕로 33,19861205,7,669,중앙난방,열병합,대성에너지,,False,35.857088765,128.603904308
대구광역시,동구,,신암동,A10024117,동대구 에일린의 뜰,아파트,대구광역시 동구 신암동 1846 동대구 에일린의 뜰,대구광역시 동구 아양로9길 35,20211008,8,705,개별난방,도시가스,대성에너지,,False,35.886032077,128.617036698
대구광역시,동구,,신암동,A10024588,동대구 우방아이유쉘,아파트,"대구광역시 동구 신암동 171-1,대구광역시 동구 신암동 1839 동대구 우방아이유쉘",대구광역시 동구 송라로32길 32,20201030,5,570,개별난방,도시가스,대성에너지,,False,35.88009885,128.617059695
대구광역시,동구,,신암동,A10023005,동대구더센트로데시앙,아파트,대구광역시 동구 신암동 451-1 동대구더센트로데시앙,대구광역시 동구 신암로20길 30,20230914,8,860,개별난방,도시가스,대성에너지,,False,35.878759892,128.611816171
대구광역시,동구,,신암동,A10022700,동대구역 센텀 화성파크드림,아파트,대구광역시 동구 신암동 139-69 동대구역 센텀 화성파크드림,대구광역시 동구 아양로 133,20240329,22,1458,개별난방,도시가스,대성에너지,,False,35.887912807,128.627200603
대구광역시,동구,,신암동,A10022603,동대구역골드클래스,아파트,대구광역시 동구 신암동 207-1 동대구역골드클래스,대구광역시 동구 신암남로 72,20240522,5,329,개별난방,도시가스,대성에너지,,False,35.879162242,128.623502389
