번지순번,정제된 도로명주소,위도,경도
10127231,대구광역시 서구 팔달로32길 6,35.8884268,128.5673031
10121463,대구광역시 서구 문화로66길 15,35.8745245,128.5693046
10119698,대구광역시 서구 통학로24길 60,35.8711468,128.5695641
10371813,대구광역시 달성군 다사읍 왕선로 59,35.8652159,128.4642142
10121850,대구광역시 서구 문화로67길 3,35.8763353,128.5690622
10315963,대구광역시 달서구 대명천로 118,35.8402975,128.5473138
10316008,대구광역시 달서구 구마로21길 17,35.8391796,128.5395991
10316053,대구광역시 달서구 와룡로18길 26,35.8399882,128.5385542
10316101,대구광역시 달서구 와룡로17길 10,35.8405843,128.5361718
10316113,대구광역시 달서구 대명천로43길 18,35.840959,128.535811
10296084,대구광역시 달서구 장기로 101,35.8431928,128.5492388
10316153,대구광역시 달서구 와룡로 63,35.8383631,128.5365387
10296901,대구광역시 달서구 장기로26길 62,35.8461892,128.5476336
10297123,대구광역시 달서구 대명천로 67,35.8384519,128.5516479
10316453,대구광역시 달서구 용산로 45,35.8414352,128.5303855
10316208,대구광역시 달서구 대명천로 233,35.8415547,128.5348762
10130310,대구광역시 서구 염색공단로21길 19-15,35.8837108,128.5476058
10112664,대구광역시 서구 서대구로3길 5,35.8586839,128.556168
10643587,대구광역시 서구 달구벌대로 지하1760,35.8547047,128.5255562
10316616,대구광역시 달서구 용산로 9,35.8381322,128.5303947
10310999,대구광역시 달서구 새방로 61,35.8646381,128.5237772
10309490,대구광역시 달서구 와룡로45안길 37,35.851767,128.532544
10642999,대구광역시 달서구 용산로 160,35.8510151,128.5313367
10130277,대구광역시 서구 염색공단로 108,35.8851455,128.5444215
10130278,대구광역시 서구 염색공단로 104,35.8853304,128.5449052
10130284,대구광역시 서구 염색공단로 107,35.8846289,128.544805
10130282,대구광역시 서구 염색공단로21길 20-18,35.8839097,128.5441792
10109725,대구광역시 서구 통학로 46,35.8645106,128.5649946
10111153,대구광역시 서구 서대구로 50,35.8623753,128.5567587
10309624,대구광역시 달서구 성지로 35,35.8543745,128.5195095
10309629,대구광역시 달서구 성지로 75,35.8559379,128.5197507
10309689,대구광역시 달서구 새동네로 85,35.8553765,128.5223336
10643787,대구광역시 달서구 성지로 76,35.8559136,128.5212474
10643809,대구광역시 달서구 성지로 92-1,35.8574508,128.5212336
10643878,대구광역시 달서구 성지로14안길 49,35.8575428,128.5216548
10643779,대구광역시 달서구 새동네로 97,35.8564478,128.5227168
10643896,대구광역시 달서구 새방로 25,35.8611422,128.5213785
10643799,대구광역시 달서구 성지로16길 33,35.85644180000001,128.5222793
10643904,대구광역시 달서구 새방로 32,35.8615475,128.5227815
10643806,대구광역시 달서구 성지로16길 45,35.8570506,128.5223081
10643832,대구광역시 달서구 선원로53길 34-18,35.8601191,128.5230101
10643974,대구광역시 달서구 선원로57길 17,35.8600277,128.5235424
10644058,대구광역시 달서구 선원로 281,35.8589365,128.5232899
10644059,대구광역시 달서구 선원로 281-1,35.8589346,128.5234565
10644066,대구광역시 달서구 달구벌대로301길 172,35.8575038,128.5316278
10644006,대구광역시 달서구 새방로 8,35.8595185,128.5213185
10114531,대구광역시 서구 달서로6길 23,35.8660361,128.5733042
10310541,대구광역시 달서구 와룡로43길 70,35.852105,128.5331782
10310554,대구광역시 달서구 와룡로45길 67,35.853013,128.533321
10310606,대구광역시 달서구 성서동로 350,35.8514997,128.5168516
10310640,대구광역시 달서구 용산큰못길 30,35.859525,128.5280818
10642998,대구광역시 달서구 용산로 174,35.8532483,128.5312153
10310698,대구광역시 달서구 용산큰못길 3,35.8589555,128.5271568
10310718,대구광역시 달서구 용산서로 4-12,35.8582792,128.5300845
