시설물번호,사용계약번호,고객명,상품명,용도,업종분류,업종,도로명주소_풀주소,위도,경도,전년동월판매량,당년판매량,증감,증감률,상태,비교기준월
UM23503693,6003695930,임사부국밥,일반용(1),영업용,기타영업용,기타영업용,대구광역시 동구 팔공로 250,35.9209608,128.6416659,32.6403,45.4802,12.8399,39.33756736304507,유지,Nov-24
UM23503700,6003697094,한식 잘하는 집,일반용(1),영업용,음식점업,한식점,대구광역시 남구 중앙대로48길 43,35.8525864,128.5931871,0.9891,,,,해지,Nov-24
UM23503700,6003966099,올데이파스타,일반용(1),영업용,음식점업,한식점,대구광역시 남구 중앙대로48길 43,35.8525864,128.5931871,,233.3332,,,신규,Nov-24
UM23503701,6003694959,스시회관,일반용(1),영업용,음식점업,일식점,대구광역시 달성군 유가읍 테크노순환로12길 4,35.6931785,128.4687716,126.6048,174.9999,48.3951,38.2253279496512,유지,Nov-24
UM23503710,6003697255,주식회사 요양엔갑부달서달성점,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 달성군 현풍읍 테크노중앙대로5길 15-10,35.697313,128.4541195,,,,,해지,Nov-24
UM23503710,6003809518,요양엔갑부 달서달성점,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 달성군 현풍읍 테크노중앙대로5길 15-10,35.697313,128.4541195,337.2831,278.8134,-58.46969999999999,-17.33549650130706,유지,Nov-24
UM23503711,6003695973,영광이네숯불갈비,일반용(1),영업용,음식점업,한식점,대구광역시 북구 구암로17길 6,35.9329355,128.5507072,50.4441,0.0,-50.4441,-100.0,유지,Nov-24
UM23504647,6003695912,너로찜했소,일반용(1),영업용,음식점업,한식점,대구광역시 동구 화랑로11길 77-1,35.8746088,128.6319326,,,,,해지,Nov-24
UM23504648,6003697706,아이드블랑 수성점,일반용(1),영업용,이.미용업,기타 이.미용업,대구광역시 수성구 수성로69길 41,35.8554737,128.6111327,86.0517,120.6214,34.5697,40.17317496342315,유지,Nov-24
UM23504649,6003699454,대한적십자사경북지사,일반용(1),업무용,공공기관,기타 공공기관,경상북도 경산시 하양읍 지식산업로6길 36,35.9352715,128.8177698,11.8692,12.8531,0.9839000000000002,8.289522461496986,유지,Nov-24
UM23504650,6003698090,주식회사 하얀소나무,업무난방용,업무용,의료업,요양원,대구광역시 북구 동변로20길 26,35.9220398,128.6023841,809.0838,658.4742,-150.6096,-18.61483322246719,유지,Nov-24
UM23504655,6003724858,피에스씨수성점,일반용(1),영업용,음식점업,기타 음식점,대구광역시 수성구 수성로 320,35.8542089,128.6138495,64.2915,101.8361,37.5446,58.3974553401305,유지,Nov-24
UM23504658,6003698254,양산도 대구범어점,일반용(1),영업용,음식점업,일식점,대구광역시 수성구 동대구로77길 7,35.8647567,128.6261891,266.0679,,,,해지,Nov-24
UM23504658,6003916718,양산도 대구범어점,일반용(1),영업용,음식점업,일식점,대구광역시 수성구 동대구로77길 7,35.8647567,128.6261891,,317.3727,,,신규,Nov-24
UM23504659,6003698945,하이꼬마김밥,일반용(1),영업용,음식점업,분식점,대구광역시 동구 송라로10길 33,35.8721996,128.6212646,73.1934,75.1412,1.9478000000000009,2.661168903207121,유지,Nov-24
UM23504660,6003700991,박윤식,일반용(1),영업용,음식점업,한식점,경상북도 경산시 경청로219길 1-5,35.8026837,128.7381869,203.7546,,,,해지,Nov-24
UM23504660,6003918194,행운국시,일반용(1),영업용,음식점업,한식점,경상북도 경산시 경청로219길 1-5,35.8026837,128.7381869,,238.2767,,,신규,Nov-24
UM23505892,6003698936,하명헌,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 수성구 수성로38길 26,35.8430781,128.6136912,,,,,해지,Nov-24
UM23505892,6003731901,피델리티커피,일반용(1),업무용,도소매업,기타 도소매업,대구광역시 수성구 수성로38길 26,35.8430781,128.6136912,25.7166,34.6045,8.887900000000002,34.560945070499216,유지,Nov-24
UM23505896,6003713465,끌레Cle,일반용(1),영업용,다과점업,제과점,대구광역시 달서구 달구벌대로309길 19,35.8508613,128.5352984,35.6076,51.4124,15.8048,44.386029948662646,유지,Nov-24
